"dep0","dep1","dep2","dep3","mun0","mun1","dep","mun","name","level","funding","type","status","language","time","frequency","fequency"
"16","01","0138","46","16","031","alta verapaz","coban","colegio coban","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0139","46","16","031","alta verapaz","coban","colegio particular mixto verapaz","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0140","46","16","031","alta verapaz","coban","colegio ""la inmaculada""","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0141","46","16","005","alta verapaz","coban","escuela nacional de ciencias comerciales","diversificado","oficial","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0142","46","16","005","alta verapaz","coban","instituto normal mixto del norte 'emilio rosales ponce'","diversificado","oficial","urbana","abierta","bilingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0143","46","16","031","alta verapaz","coban","colegio particular mixto imperial","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0145","46","16","006","alta verapaz","coban","instituto de tursmo y aviacon del norte i.t.a.n","diversificado","privado","urbana","cerrada temporalmente","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0147","46","16","031","alta verapaz","coban","colegio ""la inmaculada""","diversificado","privado","rural","cerrada temporalmente","monolingue","doble","DIARIO(REGULAR)","diario(regular)"
"16","01","0150","46","16","006","alta verapaz","coban","instituto intercultrual altaverapacencese -iiav-","diversificado","privado","urbana","cerrada temporalmente","bilingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0155","46","16","031","alta verapaz","coban","liceo ""moderno latino""","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0428","46","16","005","alta verapaz","coban","instituto nacional de educacion diversificada","diversificado","oficial","rural","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0471","46","16","031","alta verapaz","coban","colegio de informatica ""ceninfav""","diversificado","privado","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0478","46","16","031","alta verapaz","coban","colegio evangelico ""la patria""","diversificado","privado","urbana","cerrada temporalmente","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0481","46","16","031","alta verapaz","coban","liceo americano del norte","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0483","46","16","031","alta verapaz","coban","liceo americano del norte","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0557","46","16","031","alta verapaz","coban","colegio ""la libertad""","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0558","46","16","005","alta verapaz","coban","instituto normal preprimaria bilingue adscrito al instituto normal mixto del norte ""emilio rosales ponce""","diversificado","oficial","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0559","46","16","005","alta verapaz","coban","instituto normal primaria bilingue intercultural ads. al instituto emilio rosales ponce","diversificado","oficial","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0563","46","16","031","alta verapaz","coban","centro de formacion integral las conchas fmg","diversificado","privado","rural","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0565","46","16","031","alta verapaz","coban","instituto mixto privado ""salud y desarrollo""","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0568","46","16","031","alta verapaz","coban","instituto privado raul chenal heinemann","diversificado","privado","urbana","abierta","monolingue","nocturna","DIARIO(REGULAR)","diario(regular)"
"16","01","0570","46","16","031","alta verapaz","coban","liceo miguel angel asturias","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0572","46","16","031","alta verapaz","coban","liceo miguel angel asturias","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0573","46","16","031","alta verapaz","coban","colegio cristiano bilingue verbo","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0574","46","16","005","alta verapaz","coban","escuela nacional de ciencias comerciales","diversificado","oficial","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0583","46","16","031","alta verapaz","coban","colegio nuevos senderos","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0604","46","16","031","alta verapaz","coban","instituto privado raul chenal heinemann","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0609","46","16","031","alta verapaz","coban","instituto mixto de educacion bilingue intercultural -imebi-","diversificado","privado","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0611","46","16","031","alta verapaz","coban","colegio hispanoamericano","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0612","46","16","031","alta verapaz","coban","instituto de magisterio de educacion preprimaria infantil bilingue intercultural luz del saber","diversificado","privado","rural","abierta","bilingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0613","46","16","031","alta verapaz","coban","colegio particular mixto ""anton de montesinos""","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0616","46","16","037","alta verapaz","coban","instituto nacional de educacion diversificada","diversificado","oficial","rural","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0619","46","16","031","alta verapaz","coban","colegio particular mixto ""anton de montesinos""","diversificado","privado","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0642","46","16","005","alta verapaz","coban","instituto nacional de educacion diversificada","diversificado","oficial","rural","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0646","46","16","031","alta verapaz","coban","instituto mixto privado salud y desarrollo","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0651","46","16","031","alta verapaz","coban","centro de formación integral ciudad de la esperanza","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0652","46","16","037","alta verapaz","coban","instituto maya comunitario k amolb e","diversificado","privado","rural","abierta","bilingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0664","46","16","031","alta verapaz","coban","liceo americano del norte","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0665","46","16","031","alta verapaz","coban","colegio de informática ""ceninfav""","diversificado","privado","urbana","abierta","monolingue","doble","DIARIO(REGULAR)","diario(regular)"
"16","01","0666","46","16","031","alta verapaz","coban","colegio de informática ""ceninfav""","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0668","46","16","031","alta verapaz","coban","colegio particular mixto imperial","diversificado","privado","urbana","abierta","monolingue","doble","DIARIO(REGULAR)","diario(regular)"
"16","01","0671","46","16","031","alta verapaz","coban","colegio privado mixto tecnológico en informática","diversificado","privado","urbana","abierta","monolingue","doble","DIARIO(REGULAR)","diario(regular)"
"16","01","0672","46","16","031","alta verapaz","coban","ica","diversificado","privado","urbana","abierta","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","0678","46","16","031","alta verapaz","coban","colegio la libertad","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0681","46","16","031","alta verapaz","coban","instituto mixto privado santo domingo","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","0690","46","16","031","alta verapaz","coban","isea ""la escuela en su casa""","diversificado","privado","urbana","abierta","monolingue","doble","A DISTANCIA","a distancia"
"16","01","0694","46","16","031","alta verapaz","coban","colegio la libertad","diversificado","privado","urbana","cerrada temporalmente","monolingue","doble","SEMIPRESENCIAL","semipresencial"
"16","01","0703","46","16","031","alta verapaz","coban","instituto mixto privado salud y desarrollo","diversificado","privado","urbana","abierta","bilingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","0705","46","16","050","alta verapaz","coban","programa nacional de educación alternativa pronea","diversificado","oficial","rural","abierta","monolingue","doble","A DISTANCIA","a distancia"
"16","01","1172","46","16","006","alta verapaz","coban","colegio particular mixto carlos v","diversificado","privado","urbana","cerrada temporalmente","monolingue","matutina","FIN DE SEMANA","fin de semana"
"16","01","1173","46","16","006","alta verapaz","coban","colegio particular mixto carlos v","diversificado","privado","urbana","cerrada temporalmente","monolingue","matutina","DIARIO(REGULAR)","diario(regular)"
"16","01","1174","46","16","031","alta verapaz","coban","instituto privado raul chenal heinemann","diversificado","privado","urbana","abierta","monolingue","vespertina","DIARIO(REGULAR)","diario(regular)"
"16","01","1175","46","16","031","alta verapaz","coban","instituto privado raul chenal heinemann","diversificado","privado","urbana","abierta","monolingue","doble","FIN DE SEMANA","fin de semana"
"16","01","1176","46","16","031","alta verapaz","coban","instituto mixto privado santo domingo","diversificado","privado","urbana","abierta","monolingue","vespertina","SABATINO","sabatino"
"16","01","1177","46","16","006","alta verapaz","coban","instituto privado mixto santo domingo","diversificado","privado","urbana","cerrada temporalmente","monolingue","matutina","SABATINO","sabatino"
